Streaming output truncated to the last 5000 lines.
{'t': 30.910000000002032, 'V': 103.31120972427716, 'n': 0.6004007077020476, 'm': 0.9826354506307416, 'h': 0.2843013898683179}
{'t': 30.920000000002034, 'V': 102.92234617904982, 'n': 0.6039234435378806, 'm': 0.9838694102809216, 'h': 0.2814630970460536}
{'t': 30.930000000002035, 'V': 102.52699466541635, 'n': 0.6073956933939658, 'm': 0.984997520340422, 'h': 0.27865330929487486}
{'t': 30.940000000002037, 'V': 102.1253374730336, 'n': 0.6108179277994319, 'm': 0.98602875088177, 'h': 0.2758717468438105}
{'t': 30.95000000000204, 'V': 101.71755907981306, 'n': 0.6141906207531596, 'm': 0.9869712752112334, 'h': 0.27311813291458403}
{'t': 30.96000000000204, 'V': 101.30384581108308, 'n': 0.6175142494314528, 'm': 0.9878325408522658, 'h': 0.27039219369893175}
{'t': 30.97000000000204, 'V': 100.88438547183843, 'n': 0.6207892938940314, 'm': 0.9886193341705775, 'h': 0.26769365833632763}
{'t': 30.980000000002043, 'V': 100.45936696957159, 'n': 0.6240162367878397, 'm': 0.9893378392045725, 'h': 0.26502225889212444}
{'t': 30.990000000002045, 'V': 100.02897993879506, 'n': 0.6271955630488889, 'm': 0.9899936912162275, 'h': 0.26237773033611594}
{'t': 31.000000000002046, 'V': 99.59341437429747, 'n': 0.6303277596027624, 'm': 0.9905920254326928, 'h': 0.2597598105215217}
{'t': 31.010000000002048, 'V': 99.1528602775726, 'n': 0.633413315064639, 'm': 0.9911375214077792, 'h': 0.2571682401643956}
{'t': 31.02000000000205, 'V': 98.707507319179, 'n': 0.6364527194397914, 'm': 0.9916344433948079, 'h': 0.2546027628234559}
{'t': 31.03000000000205, 'V': 98.25754451868877, 'n': 0.6394464638255501, 'm': 0.9920866770878126, 'h': 0.2520631248803357}
{'t': 31.040000000002053, 'V': 97.80315994315521, 'n': 0.6423950401157058, 'm': 0.9924977630565455, 'h': 0.24954907552025038}
{'t': 31.050000000002054, 'V': 97.34454042453613, 'n': 0.6452989407082813, 'm': 0.9928709271719092, 'h': 0.2470603667130793}
{'t': 31.060000000002056, 'V': 96.8818712961706, 'n': 0.6481586582175459, 'm': 0.9932091082921092, 'h': 0.24459675319485796}
